headlines,text
Artists' secret postcards on sale,"Ms Bradburn said there was a big queue at the start of the sale but it had now gone down.She said the people that had bought the famous name postcards had arrived early and had spent time studying each work.The famous sale is now in its 11th year.Money raised from the sale will go towards the RCA's Fine Art Student Award Fund which supports students with grants and bursaries.Film director Ken Loach, fashion designer Hussein Chalayan and former Blur guitarist Graham Coxon have all designed postcards for the sale.Postcards by artists including Damien Hirst and Tracey Emin have sold just hours after the opening of the Royal Academy of Arts annual Secrets sale"
Neeson in bid to revive theatre,"The Ballymena-born actor said that the theatre on Ridgeway Street was in a ""very dilapidated condition"".Mr Neeson said that the idea was to get a bunch of ""healthy, wealthy Irish Americans"" in one room and ask them to help with fundraising.He said that the DUP leader and preacher was a ""very dynamic, extraordinary figure"".But it was so dramatic.And he said that there was one figure from his childhood that he would love to portray on the big screen - Ian Paisley.""There was serious trouble, as you know, but this theatre was like a Belisha beacon of light and hope six nights a week, doing everything from Shakespeare to Yeats to O'Casey with a group of actors and actresses that affected me very deeply and still do.""Lyric chairman David Johnston has said that rebuilding the theatre, at a cost of £8m is the only answer.Hollywood film star Liam Neeson has held a dinner party in New York to promote Belfast's Lyric Theatre.He said: ""What an orator"
Levy takes Whitbread novel prize,"Orange Prize winner Andrea Levy has seen her book Small Island win the Whitbread Novel of the Year Award.She has previously been the winner of the Blue Peter Book of the Year.All the category winners go through to compete for the Whitbread Book of the Year title, which carries with it a £25,000 prize.Bookmaker William Hill has placed London-based Levy's novel as the 6/4 favourite to win.She is now favourite to win the overall prize after beating Booker winner Alan Hollinghurst's The Line of Beauty.Fletcher has recently graduated from graduated from the University of East Anglia creative writing course.In the biography category it was John Guy's The Life of Mary Queen of Scots that was picked as winner.Geraldine McCaughrean has picked up the children's fiction award for the third time for Not the End of the World.Children's winner McCaughrean, who went into magazine publishing after studying teaching, previously won the Whitbread Prize in 1987 with A Little Lower than Angels and in 1994 with Gold Dust.Waterstone's fiction writer buyer Suzie Doore said: ""It is great to see Susan Fletcher win in the first novel category"
Adventure tale tops awards,"Paul Stewart and Chris Riddell's book came top in the category for six- to eight-year-olds and won the award chosen by after-school club members.Young book fans have voted Fergus Crane, a story about a boy who is taken on an adventure by a flying horse, the winner of two Smarties Book Prizes.As well as the six to eights prize, it won the 4Children Special Award voted for by after-school club members.The prize, which is celebrating its 20th year, is billed as ""the UK's biggest children's book award"".""This year's young judges chose the winners from an exceptionally strong and varied shortlist which showcases the very best in children's books today."
Mutant book wins Guardian prize,"""What we found so impressive about Armand Marie Leroi's book was the scope of its reference, its elegance and its inquisitiveness,"" said Ms Armistead, chair of the judges and the Guardian literary editor.A book about the evolution of mutants and the science of abnormality has won the Guardian First Book Award 2004.The award, for first time authors, is open to books from genres including fiction, poetry, biography, memoir, history, politics, science and current affairs.A panel of literary experts, including novelists Hari Kunzru and Ali Smith, director Sir Richard Eyre and comedian Alexei Sayle chose the winner from a five-strong shortlist.Her words were echoed by Iris director Sir Richard Eyre who called Marie Leroi's work ""extraordinarily thought provoking"""
Arthur Hailey: King of the bestsellers,"The writer was known for his painstaking research into the professions around which each novel was centred, drawing his characters ""from real life"" and taking up to three years to produce each book.It was an occupation that was later to feature in his authorial debut, the television screenplay Flight into Danger.Flight into Danger was adapted to become Hailey's first novel, Runaway Zero-Eight in 1958.I was a rusty wartime pilot who hadn't flown for nine years... "" Hailey later recalled.His greatest ambition was to see his name on a book and he certainly achieved that,"" said his wife, Sheila.It was later memorably spoofed in the 1980 comedy Airplane!, starring Leslie Nielsen.It was turned into a movie in 1967 and later adapted into a glossy soap in the 1980s, starring James Brolin.Novelist Arthur Hailey, who has died at the age of 84, was known for his bestselling page-turners exploring the inner workings of various industries, from the hotels to high finance.Born in Luton, Bedfordshire, on 5 April 1920, Hailey was the only child of working class parents, They could not afford to keep him in school beyond the age of 14.But it was not until Hotel, in 1965, that Hollywood came calling.He wanted to be a writer from an early age, but did not take it up professionally until his mid-thirties, when he was inspired to write his first screenplay while on a return flight to Toronto.The book was adapted into a hit film in 1970, starring Burt Lancaster as the harassed aiport manager and Dean Martin as a womanising pilot, alongside Jean Seberg and Jacqueline Bisset.The Canadian Broadcasting Corporation bought Flight into Danger for $600 (£318) and it was shown on TV in April 1956.Strong Medicine, Hailey's blockbuster focusing on the pharmaceutical industry, was turned into a film in 1986, starring Sam Neill, Douglas Fairbanks Jr and a panoply of former soap stars.Despite a lukewarm response from critics, and few literary accolades, Hailey was at the height of his fame in the seventies and continued to attract the attention of Hollywood producers"
Spark heads world Booker list,Dame Muriel Spark is among three British authors who have made the shortlist for the inaugural international Booker Prize.McEwan and Margaret Atwood are the only nominees to have previously won the main Booker Prize.The international award was started in response to criticisms that the Booker Prize is only open to British and Commonwealth authors.The prize commends an author for their body of work instead of one book.Margaret Atwood (Canada) Saul Bellow (Canada) Gabriel Garcia Marquez (Colombia) Gunter Grass (Germany) Ismail Kadare (Albania) Milan Kundera (Czech Republic) Stanislaw Lem (Poland) Doris Lessing (UK) Ian McEwan (UK) Naguib Mahfouz (Egypt) Tomas Eloy Martinez (Argentina) Kenzaburo Oe (Japan) Cynthia Ozick (US) Philip Roth (US) Muriel Spark (UK) Antonio Tabucchi (Italy) John Updike (US) Abraham B Yehoshua (Israel
Versace art portfolio up for sale,"Much of the collection will be offered for sale at three auctions in New York in June, with smaller contemporary paintings going under the hammer in London on 22 and 23 June.The collection was housed at Versace's six-storey New York townhouse.The art collection of murdered fashion designer Gianni Versace could fetch up to £9m ($17m) when it is auctioned in New York and London later this year.Among the pictures for sale are works by Roy Lichtenstein, Andy Warhol and Henri Matisse"
Slater to star in Broadway play,"Actor Christian Slater is stepping into the role of Tom in the Broadway revival of The Glass Menagerie.The role will be played by understudy Joey Collins until Slater joins the show.Slater, 35, is replacing actor Dallas Roberts in the Tennessee Williams drama, which opens next month.Slater won rave reviews for his recent performance in One Flew Over the Cuckoo's Nest in London's West End"
Public show for Reynolds portrait,"It was bought by a London dealer who sold it on to a collector.Portrait of Omai fetched the second highest amount for a British painting when it was sold at auction for £10.3m in 2001.Sir Joshua painted him after his arrival in 1774, and it became the artist's most famous work after it was first exhibited at the Royal Academy in 1776.The portrait is of a young man who was dubbed ""the noble savage"" when he arrived in London from Polynesia.The Tate Gallery unsuccessfully tried to buy the picture from its anonymous owner after a ban was issued preventing the painting from leaving the UK"
Obituary: Dame Alicia Markova,"She became director of ballet for the Metropolitan Opera Ballet in New York, and for some years was full-time Professor of Ballet and Performing Arts in the University of Cincinnati.Dame Alicia Markova, who has died in Bath aged 94, was the UK's first prima ballerina of the modern age, and, in her heyday, the greatest in the western world.It was Diaghilev who changed her name without even consulting her.She helped launch the Ballet Club at the Mercury Theatre (later the Ballet Rambert), the Vic Wells Ballet, and then, with Anton Dolin, the Markova-Dolin Ballet of 1935-37.Very quickly it became apparent that she was something special.She was born Lilian Alicia Marks in London in 1910.When she was eight, her mother took a decision which changed her life.Her life was one of great excitement.She was also outstanding in The Dying Swan.She became ill with diphtheria but kept in touch, and, eventually, with a governess in tow, joined Diaghilev in Monte Carlo when she was 14.She was one of the first British ballerinas to take a major part in Les Sylphides"
Fears raised over ballet future,"A spokeswoman for the RAD said: ""It is our responsibility to re-ignite the passion and nurture young dancers for the long-term future of ballet.The RAD have launched a new competition to try and reverse the decline in British ballet.New research from the Royal Academy of Dance (RAD) has found fewer children over the age of 10 are attending ballet classes and taking exams in the discipline.Fewer children in the UK are following in the dainty footsteps of dancers like Darcey Bussell, and carving out potential careers as ballet dancers.The RAD found that the number of youngsters taking their ballet exams drops by almost 70% after the age of 10 or 11.But a spokesman for the English National Ballet told BBC News that although only two out of their 12 principal dancers were British, around a quarter of the company's dancers were from the UK.""It's not a very cool thing to do when you go to 'big' school and I think you have to be very focused on ballet to want to carry on doing it,"" she said.Ms Trew, who runs a dance school in Gateshead, admitted it would be ""very difficult"" to reverse the trend and said many young ballet dancers were no longer willing to make the sacrifices to succeed.Currently, only two out of 16 principal dancers at the Royal Ballet - Darcey Bussell and Jonathan Cope - are British, compared to 16 of the 21 principals in 1985.Aimed at children aged 10 to 13, it is hoped the contest will help keep British ballet evolving.""What better way to reignite a passion for ballet than to let them experience the thrill of performance?""And there are fears that if the trend is not reversed, there could be fewer British ballet stars in the future"
Famed music director Viotti dies,"Viotti, director of La Fenice since 2002, conducted at renowned opera houses worldwide including Milan's La Scala and the Vienna State Opera.The last opera he directed at La Fenice was Massenet's Le Roi de Lahore.At La Fenice Viotti was widely acclaimed for his production of the French composer Massenet's Thais and some of his other productions included Giuseppe Verdi's La Traviata and Richard Strauss's Ariadne auf Naxos.Conductor Marcello Viotti, director of Venice's famous La Fenice Theatre, has died in Germany at 50.Viotti's debut at the New York's Metropolitan Opera came in 2000 with Giacomo Puccini's Madame Butterfly, followed by La Boheme, La Traviata and Fromental Halevy's La Juive.His time at La Fenice coincided with its reopening in 2003 after it was destroyed by fire in 1996"
Paraguay novel wins US book prize,"A novel set in 19th century Paraguay has won the $10,000 (£5,390) fiction prize at the US National Book Awards.Children's author Judy Blume, who was given an honourary medal, used the ceremony to speak out over censorship.The National Book Awards non-fiction prize was awarded to Kevin Boyle's for Arc of Justice, which focuses on a black family's fight to live in a white Detroit neighbourhood in the 1920s.This year's fiction panel overlooked high-profile works such as Philip Roth's The Plot Against America and instead chose five little-known books, all by New York-based women.Her medal marks the second year in a row the honourary prize went to someone as notable for popular success as literary greatness.Sales of Blume's books have exceeded 75 million, but her work - which features frank narratives about families, religion and sexuality - is closely watched by the censors.The winner in the poetry category was Jean Valentine for Door in the Mountain: New and Collected Poems, 1965-2003.But his argument that the award should help sell books instead of honouring excellence is not shared by everyone"
New Harry Potter tops book chart,"""The fact that the book has already hit number one in our Hot 100 books chart shows how incredibly excited customers are about the sixth Harry Potter,"" said Amazon's Robin Terrell.Harry Potter and the Half-Blood Prince has topped Amazon's book chart less than 24 hours after its release date - 16 July - was announced.Rowling has already revealed that the Half-Blood Prince is neither Harry nor Voldemort.Harry Potter and the Half-Blood Prince takes up the story of Harry Potter's sixth year at Hogwarts School of Witchcraft and Wizardry as Lord Voldemort grows stronger.JK Rowling's fifth book in the wizard series, Harry Potter and Order of the Phoenix was Amazon's largest pre-ordered item ever, with 420,000 copies pre-ordered prior to its release in June 2003.Following publication of the sixth book, just one novel remains to complete the series"
UK's National Gallery in the pink,"He said the number of visitors through the doors had boosted figures to pre-11 September 2001 levels.Mr Saumarez Smith said he was confident the gallery could maintain the attendance.The figures were prepared by the Association of Leading Visitor Attractions (Alva).Charles Saumarez Smith, the gallery's director, said he was ""delighted"".Popular cultural tourist spots such as the Tate Modern and the Natural History Museum all recorded increases of more than 10% in visitor numbers compared with 2003.Mr Saumarez Smith added that the pedestrianisation of Trafalgar Square, where the gallery is located, and strong temporary collections throughout 2004 had led to the strong performance.Alva director Robin Broke said: ""Visits from Western Europe were up by 10% and from North America by some 9% compared to 2003, while numbers from the rest of the world rose 20%"
Lit Idol begins search for author,"Writer Tony Cowell is among the judges who will hear aspiring writers read their work aloud.The final five will then have to read their work in front of judging panel.""It's very, very hard to find an agent and extremely difficult, without an agent, to get a publisher to look at your work,"" said Cowell.The winner gets a deal with literary agency Curtis Brown.The 2004 winner, Paul Cavanagh, went on to sign a deal with Harper Collins.""I'm not going to be the Mr Nasty of books,"" said Cowell, 54, in reference to his brother's caustic remarks on TV shows Pop Idol and The X-Factor.The winner will be announced at the London Book Fair on 14 March next year and could be screened on TV"
Potter director signs Warner deal,"His first film for Warner Brothers was 1995's family fantasy movie A Little Princess.Harry Potter director Alfonso Cuaron has signed a three-year deal with Hollywood studio Warner Brothers, according to Variety trade magazine.Cuaron's other films include Mexican movie Y Tu Mama Tambien.After the erotic nature of Y Tu Mama Tambien, Cuaron was a surprise choice to direct the third Harry Potter film but his dark interpretation was received well by the public and critics alike.""We had a wonderful experience with Alfonso on Harry Potter,"" Warner producer Jeff Robinov told Variety"
Baghdad Blogger on big screen,"A film based on the internet musings of the ""Baghdad Blogger"" has been shown at the Rotterdam Film Festival.Baghdad Blogger is among a number of films about Iraq showcased at the Dutch festival, which runs until Sunday.The festival was also due to screen murdered Dutch film-maker Theo Van Gogh's film about the treatment of woman under Islam, but it was withdrawn due to safety fears.The film has been directed by the man who calls himself Salam Pax, the author of the weblog about Iraqi life during and after the war.Director Oday Rasheed made the film on discarded 1980s Kodak film taken from the remains for the former Ministry of Culture building.Van Gogh was shot and stabbed in November 2004, following death threats he received about his film Submission"
US critics laud comedy Sideways,"The Chicago Film Critics Association (CFCA) named it winner in five categories including best film and best actor for Paul Giamatti.The CFCA awarded Thomas Haden Church the best supporting actor prize and Virginia Madsen the best supporting actress award for their roles in the film.The Southeastern Film Critics also awarded Sideways its best film of the year accolade.Sideways has already been voted best film by critics associations in New York and Los Angeles and has been nominated for a Golden Globe.Director Alexander Payne was named best director, and he also won best screenplay shared with Jim Taylor"
Dirty Den's demise seen by 14m,"The show's highest audience came at Christmas 1986, when more than 30 million tuned in to see Den, played by Leslie Grantham, hand divorce papers to wife Angie.The audience for BBC One's one-hour special averaged 13.7 million and peaked at 14.2 million in the last 15 minutes, overnight figures showed.Two years later, 24 million saw him apparently shot by a man with a bunch of daffodils by a canal.More than 16 million viewers watched his return in 2003.The show's ratings have since settled down to about 12 million per episode.More than 14 million people saw ""Dirty"" Den Watts killed off on Friday, marking EastEnders' 20th anniversary, according to unofficial figures.Den's death came 16 years after he was supposedly shot in 1989"
Redford's vision of Sundance,"Redford wanted Sundance to be a platform for independent film-makers, but the commercial success of many showcased films have led to criticism that the festival is becoming too mainstream.""People started to say we had gone mainstream and Hollywood, but actually Hollywood came to us because suddenly there was good business in independent film,"" he adds.But Redford knows this and started the Sundance TV Channel in an effort to reach a wider audience.While Redford wishes the festival to be a forum for dissent, the profile of the audience is fairly monolithic.With them the celebrities came, then the paparazzi - and suddenly it began to take on a whole new tone,"" explains Redford.But Redford is not worried.""Once independent film had a place where the work could be seen, suddenly the merchants came.Smaller festivals like Slamdance and XDance, which take place during the same week in Park City, are competing for Sundance's limelight.""The point was to create opportunities for people who may not have them.""Sooner or later we will do away with those stereotypical labels and people will say 'it's just a film by so-and so'.""""It's the ability to maintain the importance of dissent in a democratic system which right now is under threat with the attitude of this administration,"" he says.Redford wants the festival to encompass viewpoints he believes the American media fails to reflect, particularly how the US is perceived internationally"
DVD review: Harry Potter and the Prisoner of Azkaban,"This third Harry Potter film brought a change of director and a dramatic visual shake-up that really shines on DVD.You will understand why they were deleted but it is fun to see more footage - and not have to hunt through endless menus to find it, as we did on the first Harry Potter DVD.It is the third year at Hogwarts and studies are interrupted, as they always are, by a calamity that only Harry, Ron and Hermione can put right.The film itself is the reason to buy this DVD.This is the first Potter film where you get so lost in the screen adaptation that you forget the book.Emma Watson is ever better as Hermione, and the young stars are joined by the usual myriad famous actors including Gary Oldman and Emma Thompson"
Vera Drake scoops film award,"Bridget Jones: The Edge of Reason was named Evening Standard Readers' Film of 2004 at the central London ceremony.Vera Drake - Leigh's 1950s drama about a backstreet abortionist - was named best film and Staunton, who played the title role, was named best actress.Oscar hopefuls Mike Leigh and Imelda Staunton were both winners at the 2004 Evening Standard British Film Awards.Evening Standard film critic Derek Malcolm said: ""He [Leigh] has never made a film that is better controlled and technically more secure...Other winners included Paddy Considine, who was crowned best actor for his role in Dead Man's Shoes.Leigh was presented with his winner's statuette by Timothy Spall and Staunton's award was announced by Patrick Stewart, during the glittering ceremony at The Savoy on Sunday night"
Hundreds vie for best film Oscar,"A total of 267 films are eligible for the best film Oscar but only five will be chosen to go forward as nominees.To be eligible for nomination a film must have been shown in a commercial theatre for seven consecutive days before the deadline of 31 December.The Academy of Motion Picture, Arts and Sciences has sent out the first ballot papers with the full list of films vying for recognition.Director Martin Scorsese's The Aviator, starring Leonardo DiCaprio went on general release on Christmas Day in the US, ensuring it just made the deadline.Meanwhile, design engineer Takuo Miyagishima will be awarded an Oscar at the Scientific and Technical Awards Dinner on 12 February 2005"
Hanks greeted at wintry premiere,"Hollywood star Tom Hanks was in London's Leicester Square for the UK premiere of Polar Express.Hanks said that the new film has an ""elegant message"".""This is Leicester Square like you've never seen it before,"" said Hanks, who plays five roles in the movie.""I believe in the spirit of Christmas and I think that's embodied in Santa Claus,"" he said.Polar Express is based on a children's book which tells the story of a young boy's journey to meet Santa Claus"
Film row over Pirates 'cannibals',"Carib Chief Charles Williams said talks with Disney's producers revealed there was ""a strong element of cannibalism in the script which cannot be removed"".The Caribbean island's government said Disney planned to film in Dominica.Plans to portray Dominica's Carib Indians as cannibals in the sequel to hit film Pirates of the Caribbean have been criticised by the group's chief.Mr Williams said he had received support from indigenous groups around the world in his efforts to have cannibalism references removed from the film.The first Pirates of the Caribbean film took $305m (£162m) at the box office in the US alone.He said some did not ""understand our history, they are weak and are not committed to the cause of the Carib people"""
Stars gear up for Bafta ceremony,"British hope Imelda Staunton is one of the favourites to land the best actress award for her gritty role as a backstreet abortionist in the small-budget film.It is up against Eternal Sunshine of the Spotless Mind, Finding Neverland, The Motorcycle Diaries and British film Vera Drake, which has 11 nominations.Hollywood blockbuster The Aviator, starring DiCaprio, leads the field with 14 nominations, including best film.Other nominees in the best actress category include Charlize Theron for Monster, Ziyi Zhang for House of Flying Daggers and UK star Kate Winslet, who has two nods for her roles in Eternal Sunshine of the Spotless Mind and Finding Neverland.And British actor Clive Owen is hoping to repeat his Golden Globe success with a best supporting actor award for his role in Closer.Mike Leigh is up for the best director award for Vera Drake, alongside Martin Scorsese for The Aviator, Michael Mann for Collateral, Michel Gondry for Eternal Sunshine of the Spotless Mind and Marc Forster for Finding Neverland"
Aviator 'creator' in Oscars snub,"Up to three producers can be named per film but the studios behind The Aviator and Million Dollar Baby failed to trim their credits - so the Academy of Motion Pictures Arts and Sciences (Ampas) has done it for them.At the Golden Globes, Mr Evans - who was named among the winners when the film won best drama film - evaded a security guard to have his photo taken with DiCaprio, director Martin Scorsese, Mr Mann and Mr King.The Oscars organisers have picked two of The Aviator's four producers to be nominated for best film.But he is not on the list of producers who can win a best film Oscar due to a limit on the number of nominees.Ampas decided to limit the number of producers who could be nominated after Shakespeare in Love's victory in 1999 saw five producers collect awards.The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off"
Wine comedy up for six film gongs,"Sideways, a wine-tasting comedy starring Paul Giamatti, is up for six Independent Spirit Awards, the art-house version of the Oscars.Sideways is written and directed by Alexander Payne, who directed the 2002 hit About Schmidt, winning Jack Nicholson his 12th Academy Award nomination.Controversial biopic Kinsey, starring Liam Neeson as sex researcher Alfred Kinsey, was one of four films to get four nominations.Among the other films receiving four nominations apiece were Brother to Brother, a drama about a young gay black man forced to live on the streets, Robbing Peter and Primer.Also in the running, with two nominations, are high school comedy Napoleon Dynamite, The Door in the Floor and Garden State - written, directed and starring Scrubs star Zach Braff alongside Natalie Portman"
No ads for Passion Oscar campaign,"Icon spent very little on advertising the film, which deals with the last hours of Jesus Christ's life, when it was released earlier this year - instead, it made the film available for special screenings at churches.Over recent years, marketing films to the members of the Academy of Motion Picture Arts and Sciences has become a multi-million dollar industry.""This film should be judged on its artistic merit, not who spends more money on advertising,"" Davey said.Gibson and his Icon Productions partner Bruce Davey said they would not be campaigning in print, radio or TV for success at the Oscars in February"
Berlin honours S Korean director,"South Korean film director Im Kwon-Taek has received an honorary Golden Bear at the Berlin Film Festival.Meanwhile, a film version of Bizet's opera Carmen - translated into the South African language Xhosa - has received a warm reception at the festival.U-Carmen eKhayelitsha (Carmen in Khayelitsha), which is one of 21 films up for Berlin's top prize, the Golden Bear, is British director Mark Dornford-May's first feature film.The veteran film-maker, 68, won the best director prize at the Cannes Film Festival in 2002 for Chihwaseon"
Stars pay tribute to actor Davis,"""Ossie was my hero, and he still is,"" said Aviator star Alan Alda, a family friend for over forty years.Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York.Veteran star Ossie Davis, a well-known civil rights activist, died in Miami at the age of 87 on 4 February 2005.""Ossie was a thing of beauty.""""It is hard to fathom that we will no longer be able to call on his wisdom, his humour, his loyalty and his moral strength to guide us in the choices that are yet to be made and the battles that are yet to be fought,"" said Belafonte, himself an ardent civil rights activist who had been friends with Davis for over 60 years.Also present at the service was former US president Bill Clinton and singer Harry Belafonte, who gave the eulogy.He frequently collaborated with director Spike Lee, starring in seven Lee films including Jungle Fever, Do The Right Thing and Malcolm X. Attallah Shabazz, the daughter of activist Malcolm X, recalled the famous eulogy delivered by Davis at her father's funeral.""Harlem has come to bid farewell to one of its finest hopes,"" she said, quoting the man she knew as Uncle Ossie"
US actor Ossie Davis found dead,"Davis, who was married to actress Ruby Dee, was found dead on Friday in his hotel room in Miami Beach, Florida, where he was making a film.Davis was also a prominent figure in the civil rights movement and was a voice for racial equality.Davis, whose 65-year career included credits as a producer, director, actor and writer for stage and screen, was also a civil rights activist.Davis's body was discovered by his grandson and paramedics at the Shore Club hotel in Miami Beach, where the actor had been shooting the film Retirement.His film debut, in 1950, was in the film No Way Out, starring Sydney Poitier and Ruby Dee.Miami Beach police spokesman Bobby Hernandez said the cause of death appeared to be natural.Davis and Dee were married for more than 56 years and together received Kennedy Center honours in 2004 for their body of work"
Jugnot 'tops French actor league',"Actor Gerard Jugnot - star of the Oscar-nominated film The Chorus - has beaten Gerard Depardieu to become France's best-paid actor of 2004.Jugnot made 5.45m Euros (£3.77m) last year, according to a table drawn up by France's Le Figaro newspaper.On Saturday, it will compete for the title of best film against fellow nominee A Very Long Engagement in France's Cesar film awards.Despite starring in five films in 2004, Depardieu made 3.35m Euros (£2.31m) putting him third place in the chart.Godzilla star Jean Reno was France's second best-paid actor in 2004, earning 3.55m Euros (£2.45m) "
Howl helps boost Japan's cinemas,"The Last Samurai, starring Tom Cruise, was the biggest foreign movie hit in Japan last year, taking 13.8bn yen (£70.7m).Japanese films accounted for 37.5% of Japan's box office total last year, with foreign films taking the remaining 62.5%.The surge was led by animated movie Howl's Moving Castle, which took 20bn yen (£102m) to become the biggest film in Japan in 2004.Japan's box office received a 3.8% boost last year, with ticket sales worth 211bn yen (£1.08bn).Sales of movies on DVD and video amounted to 497bn yen (£2.54bn) for the year"
Berlin applauds Hotel Rwanda,"Cheadle, was joined on stage at Berlin by Paul Rusesabagina, the hotel manager he plays in the film, Mr Rusesabagina's wife and his extended family, who fled Rwanda and now live in Belgium.Hotel Rwanda is one of two films addressing the genocide at the 55th Berlin Film Festival, which runs until 20 February.Political thriller Hotel Rwanda was given a rousing reception by spectators at the Berlin Film Festival on Saturday.The film, showing out of competition in Berlin, is nominated for three Oscars, including best actor for Cheadle.The film is the true story of the hotel manager who saved 1,200 Tutsis from death during the Rwandan genocide"
